2015-08-24T15:12:28: Launching bolt session for c:\users\r.kutliahmetov\documents\visual studio 2013\projects\redis\.redis.boltdata - SessionId: 0eff63bc-bf2f-4fc2-886b-9de5eb96fc3e
2015-08-24T15:12:49: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:13:19: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:13:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:14:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:14:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:15:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:15:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:16:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,003s 
2015-08-24T15:16:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:17:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:17:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:18:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:18:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:19:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:19:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:20:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:20:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:21:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:21:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,006s 
2015-08-24T15:22:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:22:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:23:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,000s 
2015-08-24T15:23:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:24:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:24:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:25:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:25:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:26:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:26:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:27:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:27:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:28:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:28:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-24T15:29:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:29:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:30:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:30:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:31:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:31:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-24T15:32:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
