2015-08-25T10:25:28: Launching bolt session for c:\users\r.kutliahmetov\documents\visual studio 2013\projects\redis\.redis.boltdata - SessionId: 65ac22ad-8b7c-4533-91b0-d31d2f39ae66
2015-08-25T10:25:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:26:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:26:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:27:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:27:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,004s 
2015-08-25T10:28:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:28:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:29:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:29:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:30:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:30:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:31:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:31:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:32:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,000s 
2015-08-25T10:32:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:33:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:33:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:34:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:34:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:35:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:35:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:36:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,000s 
2015-08-25T10:36:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,000s 
2015-08-25T10:37:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:37:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T10:38:20: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-25T10:38:50: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
