2015-08-25T16:22:50: Launching bolt session for c:\users\r.kutliahmetov\documents\visual studio 2013\projects\redis\.redis.boltdata - SessionId: ede03da2-6e80-410b-a58f-a43f529a054c
2015-08-25T16:23:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:23:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-25T16:24:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:24:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:25:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:25:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:26:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:26:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:27:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:27:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:28:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,000s 
2015-08-25T16:28:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:29:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:29:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-25T16:30:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:30:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:31:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:31:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:32:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:32:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:33:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:33:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:34:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:34:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,002s 
2015-08-25T16:35:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:35:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:36:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:36:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:37:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:37:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,000s 
2015-08-25T16:38:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:38:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:39:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:39:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:40:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:40:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:41:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:41:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:42:18: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
2015-08-25T16:42:48: GET http://127.0.0.1:11235/serveravailable.json 200 0,001s 
